Boule num, Coup, Num, Mise1, Bilan1, Mise2, Bilan2, Mise, Bilan, Total
0,1,22,1 Noir,1,1 Rouge,-1,0,0,0
1,2,30,1 Noir,-1,1 Rouge,0,0,0,0
2,3,24,1 Noir,0,1 Rouge,-1,0,0,0
3,4,22,1 Noir,1,1 Rouge,-2,0,0,0
4,5,36,1 Noir,-1,1 Rouge,-1,0,0,0
5,6,14,1 Noir,-2,1 Rouge,0,0,0,0
6,7,5,1 Noir,-3,1 Rouge,1,0,0,0
7,8,12,1 Noir,-4,1 Rouge,1,0,0,0
8,9,14,1 Noir,-5,1 Rouge,1,0,0,0
9,10,24,1 Noir,-4,1 Rouge,-1,0,0,0
10,11,19,1 Noir,-5,1 Rouge,0,0,0,0
11,12,23,1 Noir,-6,1 Rouge,1,0,0,0
12,13,31,1 Noir,-5,1 Rouge,-1,0,0,0
13,14,1,1 Noir,-6,1 Rouge,0,0,0,0
14,15,25,2 Noir,-8,1 Rouge,1,1,-1,-1
15,16,35,2 Noir,-6,1 Rouge,-1,1,0,0
16,17,6,2 Noir,-4,1 Rouge,-2,1,1,1
17,18,33,1 Noir (sécu),1,1 Rouge (sécu),-1,0,0,1
18,19,18,1 Noir,-1,1 Rouge,0,0,0,1
19,20,25,1 Noir,-2,1 Rouge,1,0,0,1
20,21,21,1 Noir,-3,1 Rouge,1,0,0,1
21,22,10,1 Noir,-2,1 Rouge,-1,0,0,1
22,23,35,1 Noir,-1,1 Rouge,-2,0,0,1
23,24,20,1 Noir,0,1 Rouge,-3,0,0,1
24,25,25,1 Noir,-1,1 Rouge,-2,0,0,1
25,26,18,1 Noir,-2,1 Rouge,-1,0,0,1
26,27,8,1 Noir,-1,1 Rouge,-2,0,0,1
27,28,18,1 Noir,-2,1 Rouge,-1,0,0,1
28,29,35,2 Noir,0,1 Rouge,-2,1,1,2
29,30,4,1 Noir (sécu),1,1 Rouge (sécu),-1,0,0,2
30,31,7,1 Noir,-1,1 Rouge,0,0,0,2
31,32,36,1 Noir,-2,1 Rouge,1,0,0,2
32,33,8,1 Noir,-1,1 Rouge,-1,0,0,2
33,34,8,1 Noir,0,1 Rouge,-2,0,0,2
34,35,15,1 Noir,1,1 Rouge,-3,0,0,2
35,36,20,1 Noir,1,1 Rouge,-4,0,0,2
36,37,14,1 Noir,-1,1 Rouge,-3,0,0,2
37,38,32,1 Noir,-2,1 Rouge,-2,0,0,2
38,39,3,1 Noir,-3,1 Rouge,-1,0,0,2
39,40,9,1 Noir,-4,1 Rouge,0,0,0,2
40,41,6,1 Noir,-3,1 Rouge,-1,0,0,2
41,42,29,1 Noir,-2,1 Rouge,-2,0,0,2
42,43,30,1 Noir,-3,2 Rouge,0,1,1,3
43,44,0,1 Noir (sécu),1,1 Rouge (sécu),1,0,0,3
44,45,23,1 Noir,-1,1 Rouge,1,0,0,3
45,46,35,1 Noir,0,1 Rouge,-1,0,0,3
46,47,16,1 Noir,-1,1 Rouge,0,0,0,3
47,48,18,1 Noir,-2,1 Rouge,1,0,0,3
48,49,3,1 Noir,-3,1 Rouge,1,0,0,3
49,50,14,1 Noir,-4,1 Rouge,1,0,0,3
50,51,23,1 Noir,-5,1 Rouge,1,0,0,3
51,52,21,1 Noir,-6,1 Rouge,1,0,0,3
52,53,33,1 Noir,-5,1 Rouge,-1,0,0,3
53,54,6,1 Noir,-4,1 Rouge,-2,0,0,3
54,55,9,2 Noir,-6,1 Rouge,-1,1,-1,2
55,56,30,2 Noir,-8,1 Rouge,0,1,-2,1
56,57,23,2 Noir,-10,1 Rouge,1,1,-3,0
57,58,21,2 Noir,-12,1 Rouge,1,1,-4,-1
58,59,21,2 Noir,-14,1 Rouge,1,1,-5,-2
59,60,1,2 Noir,-16,1 Rouge,1,1,-6,-3
60,61,32,2 Noir,-18,1 Rouge,1,1,-7,-4
61,62,3,2 Noir,-20,1 Rouge,1,1,-8,-5
62,63,24,2 Noir,-18,1 Rouge,-1,1,-7,-4
63,64,22,2 Noir,-16,1 Rouge,-2,1,-6,-3
64,65,9,3 Noir,-19,1 Rouge,-1,2,-8,-5
65,66,11,3 Noir,-16,1 Rouge,-2,2,-6,-3
66,67,16,3 Noir,-19,1 Rouge,-1,2,-8,-5
67,68,27,3 Noir,-22,1 Rouge,0,2,-10,-7
68,69,22,3 Noir,-19,1 Rouge,-1,2,-8,-5
69,70,36,3 Noir,-22,1 Rouge,0,2,-10,-7
70,71,29,3 Noir,-19,1 Rouge,-1,2,-8,-5
71,72,13,3 Noir,-16,1 Rouge,-2,2,-6,-3
72,73,24,3 Noir,-13,2 Rouge,-4,1,-5,-2
73,74,11,3 Noir,-10,2 Rouge,-6,1,-4,-1
74,75,29,4 Noir,-6,2 Rouge,-8,2,-2,1
75,76,30,4 Noir,-10,2 Rouge,-6,2,-4,-1
76,77,36,4 Noir,-14,2 Rouge,-4,2,-6,-3
77,78,19,4 Noir,-18,2 Rouge,-2,2,-8,-5
78,79,36,4 Noir,-22,2 Rouge,0,2,-10,-7
79,80,28,4 Noir,-18,2 Rouge,-2,2,-8,-5
80,81,13,4 Noir,-14,2 Rouge,-4,2,-6,-3
81,82,10,4 Noir,-10,2 Rouge,-6,2,-4,-1
82,83,18,4 Noir,-14,3 Rouge,-3,1,-5,-2
83,84,2,4 Noir,-10,3 Rouge,-6,1,-4,-1
84,85,7,5 Noir,-15,3 Rouge,-3,2,-6,-3
85,86,26,5 Noir,-10,3 Rouge,-6,2,-4,-1
86,87,12,5 Noir,-15,3 Rouge,-3,2,-6,-3
87,88,26,5 Noir,-10,3 Rouge,-6,2,-4,-1
88,89,35,5 Noir,-5,3 Rouge,-9,2,-2,1
89,90,15,5 Noir,0,3 Rouge,-12,2,0,3
90,91,9,5 Noir,-5,3 Rouge,-9,2,-2,1
91,92,24,5 Noir,0,3 Rouge,-12,2,0,3
92,93,26,5 Noir,5,4 Rouge,-16,1,1,4
93,94,12,1 Noir (sécu),-1,1 Rouge (sécu),1,0,0,4
94,95,0,1 Noir,0,1 Rouge,1,0,0,4
95,96,4,1 Noir,1,1 Rouge,-1,0,0,4
96,97,21,1 Noir,-1,1 Rouge,0,0,0,4
97,98,6,1 Noir,0,1 Rouge,-1,0,0,4
98,99,3,1 Noir,-1,1 Rouge,0,0,0,4
99,100,6,1 Noir,0,1 Rouge,-1,0,0,4
100,101,24,1 Noir,1,1 Rouge,-2,0,0,4
101,102,16,1 Noir,-1,1 Rouge,-1,0,0,4
102,103,34,1 Noir,-2,1 Rouge,0,0,0,4
103,104,16,1 Noir,-3,1 Rouge,1,0,0,4
104,105,21,1 Noir,-4,1 Rouge,1,0,0,4
105,106,36,1 Noir,-5,1 Rouge,1,0,0,4
106,107,9,1 Noir,-6,1 Rouge,1,0,0,4
107,108,15,1 Noir,-5,1 Rouge,-1,0,0,4
108,109,29,1 Noir,-4,1 Rouge,-2,0,0,4
109,110,20,1 Noir,-3,1 Rouge,-3,0,0,4
110,111,1,1 Noir,-4,1 Rouge,-2,0,0,4
111,112,36,2 Noir,-6,1 Rouge,-1,1,-1,3
112,113,25,2 Noir,-8,1 Rouge,0,1,-2,2
113,114,17,2 Noir,-6,1 Rouge,-1,1,-1,3
114,115,31,2 Noir,-4,1 Rouge,-2,1,0,4
115,116,10,2 Noir,-2,1 Rouge,-3,1,1,5
116,117,27,1 Noir (sécu),-1,1 Rouge (sécu),1,0,0,5
117,118,8,1 Noir,0,1 Rouge,-1,0,0,5
118,119,24,1 Noir,1,1 Rouge,-2,0,0,5
119,120,27,1 Noir,-1,1 Rouge,-1,0,0,5
120,121,28,1 Noir,0,1 Rouge,-2,0,0,5
121,122,31,1 Noir,1,1 Rouge,-3,0,0,5
122,123,33,1 Noir,1,1 Rouge,-4,0,0,5
123,124,7,1 Noir,-1,1 Rouge,-3,0,0,5
124,125,12,1 Noir,-2,1 Rouge,-2,0,0,5
125,126,19,1 Noir,-3,1 Rouge,-1,0,0,5
126,127,21,1 Noir,-4,1 Rouge,0,0,0,5
127,128,13,1 Noir,-3,2 Rouge,-2,1,-1,4
128,129,12,1 Noir,-4,2 Rouge,0,1,0,5
129,130,12,1 Noir,-5,2 Rouge,2,1,1,6
130,131,2,1 Noir (sécu),1,1 Rouge (sécu),-1,0,0,6
131,132,9,1 Noir,-1,1 Rouge,0,0,0,6
132,133,12,1 Noir,-2,1 Rouge,1,0,0,6
133,134,21,1 Noir,-3,1 Rouge,1,0,0,6
134,135,32,1 Noir,-4,1 Rouge,1,0,0,6
135,136,2,1 Noir,-3,1 Rouge,-1,0,0,6
136,137,31,1 Noir,-2,1 Rouge,-2,0,0,6
137,138,11,1 Noir,-1,1 Rouge,-3,0,0,6
138,139,27,1 Noir,-2,1 Rouge,-2,0,0,6
139,140,18,1 Noir,-3,1 Rouge,-1,0,0,6
140,141,22,1 Noir,-2,1 Rouge,-2,0,0,6
141,142,19,2 Noir,-4,1 Rouge,-1,1,-1,5
142,143,30,2 Noir,-6,1 Rouge,0,1,-2,4
143,144,22,2 Noir,-4,1 Rouge,-1,1,-1,5
144,145,1,2 Noir,-6,1 Rouge,0,1,-2,4
145,146,20,2 Noir,-4,2 Rouge,-2,0,-2,4
146,147,11,2 Noir,-2,2 Rouge,-4,0,-2,4
147,148,10,2 Noir,0,2 Rouge,-6,0,-2,4
