Boule num, Coup, Num, Mise1, Bilan1, Mise2, Bilan2, Mise, Bilan, Total
0,1,22,1 Noir,1,1 Rouge,-1,0,0,0
1,2,30,1 Noir,-1,1 Rouge,0,0,0,0
2,3,24,1 Noir,0,1 Rouge,-1,0,0,0
3,4,22,1 Noir,1,1 Rouge,-2,0,0,0
4,5,36,1 Noir,-1,1 Rouge,-1,0,0,0
5,6,14,1 Noir,-2,1 Rouge,0,0,0,0
6,7,5,1 Noir,-3,1 Rouge,1,0,0,0
7,8,12,1 Noir,-4,1 Rouge,1,0,0,0
8,9,14,1 Noir,-5,1 Rouge,1,0,0,0
9,10,24,1 Noir,-4,1 Rouge,-1,0,0,0
10,11,19,1 Noir,-5,1 Rouge,0,0,0,0
11,12,23,1 Noir,-6,1 Rouge,1,0,0,0
12,13,31,1 Noir,-5,1 Rouge,-1,0,0,0
13,14,1,1 Noir,-6,1 Rouge,0,0,0,0
14,15,25,2 Noir,-8,1 Rouge,1,1,-1,-1
15,16,35,2 Noir,-6,1 Rouge,-1,1,0,0
16,17,6,2 Noir,-4,1 Rouge,-2,1,1,1
17,18,33,2 Noir,-2,1 Rouge,-3,1,1,2
18,19,18,2 Noir,-4,1 Rouge,-2,1,-1,1
19,20,25,2 Noir,-6,1 Rouge,-1,1,-2,0
20,21,21,2 Noir,-8,1 Rouge,0,1,-3,-1
21,22,10,2 Noir,-6,1 Rouge,-1,1,-2,0
22,23,35,2 Noir,-4,1 Rouge,-2,1,-1,1
23,24,20,2 Noir,-2,1 Rouge,-3,1,0,2
24,25,25,3 Noir,-5,1 Rouge,-2,2,-2,0
25,26,18,3 Noir,-8,2 Rouge,0,1,-3,-1
26,27,8,3 Noir,-5,2 Rouge,-2,1,-2,0
27,28,18,3 Noir,-8,2 Rouge,0,1,-3,-1
28,29,35,3 Noir,-5,2 Rouge,-2,1,-2,0
29,30,4,3 Noir,-2,2 Rouge,-4,1,-1,1
30,31,7,3 Noir,-5,2 Rouge,-2,1,-2,0
31,32,36,3 Noir,-8,2 Rouge,0,1,-3,-1
32,33,8,3 Noir,-5,2 Rouge,-2,1,-2,0
33,34,8,3 Noir,-2,2 Rouge,-4,1,-1,1
34,35,15,4 Noir,2,2 Rouge,-6,2,1,3
35,36,20,1 Noir,1,3 Rouge,-9,2,-2,1
36,37,14,1 Noir,-1,3 Rouge,-6,2,0,3
