Boule num, Coup, Num, Mise1, Bilan1, Mise2, Bilan2, Mise, Bilan, Total
0,1,22,1 Noir,1,1 Rouge,-1,0,0,0
1,2,30,1 Noir,-1,1 Rouge,0,0,0,0
2,3,24,1 Noir,0,1 Rouge,-1,0,0,0
3,4,22,1 Noir,1,1 Rouge,-2,0,0,0
4,5,36,1 Noir,-1,1 Rouge,-1,0,0,0
5,6,14,1 Noir,-2,1 Rouge,0,0,0,0
6,7,5,1 Noir,-3,1 Rouge,1,0,0,0
7,8,12,1 Noir,-4,1 Rouge,1,0,0,0
8,9,14,1 Noir,-5,1 Rouge,1,0,0,0
9,10,24,1 Noir,-4,1 Rouge,-1,0,0,0
10,11,19,1 Noir,-5,1 Rouge,0,0,0,0
11,12,23,1 Noir,-6,1 Rouge,1,0,0,0
12,13,31,1 Noir,-5,1 Rouge,-1,0,0,0
13,14,1,1 Noir,-6,1 Rouge,0,0,0,0
14,15,25,2 Noir,-8,1 Rouge,1,1,-1,-1
15,16,35,2 Noir,-6,1 Rouge,-1,1,0,0
16,17,6,2 Noir,-4,1 Rouge,-2,1,1,1
17,18,33,1 Noir,1,1 Rouge,-1,0,0,1
18,19,18,1 Noir,-1,1 Rouge,0,0,0,1
19,20,25,1 Noir,-2,1 Rouge,1,0,0,1
20,21,21,1 Noir,-3,1 Rouge,1,0,0,1
21,22,10,1 Noir,-2,1 Rouge,-1,0,0,1
22,23,35,1 Noir,-1,1 Rouge,-2,0,0,1
23,24,20,1 Noir,0,1 Rouge,-3,0,0,1
24,25,25,1 Noir,-1,1 Rouge,-2,0,0,1
25,26,18,1 Noir,-2,1 Rouge,-1,0,0,1
26,27,8,1 Noir,-1,1 Rouge,-2,0,0,1
27,28,18,1 Noir,-2,1 Rouge,-1,0,0,1
28,29,35,2 Noir,0,1 Rouge,-2,1,1,2
29,30,4,1 Noir,1,1 Rouge,-1,0,0,2
30,31,7,1 Noir,-1,1 Rouge,0,0,0,2
31,32,36,1 Noir,-2,1 Rouge,1,0,0,2
32,33,8,1 Noir,-1,1 Rouge,-1,0,0,2
33,34,8,1 Noir,0,1 Rouge,-2,0,0,2
34,35,15,1 Noir,1,1 Rouge,-3,0,0,2
35,36,20,1 Noir,1,1 Rouge,-4,0,0,2
36,37,14,1 Noir,-1,1 Rouge,-3,0,0,2
